name,is_classical,choice_depth,split
MeasureTheory.FiniteMeasure.continuous_testAgainstNN_eval,1,5,classical_heldout
AffineIndependent.map',1,3,classical_heldout
MeasureTheory.MemLp.prod,1,2,classical_heldout
Module.Basis.baseChange_linearMap,1,4,classical_heldout
BoundedContinuousFunction.abs_self_eq_nnrealPart_add_nnrealPart_neg,1,3,classical_heldout
Polynomial.degree_le_mul_left,1,4,classical_heldout
MeasureTheory.measureReal_union_add_inter₀,1,7,classical_heldout
Nat.clog_le_of_le_pow,0,,train
galRestrict'_comp,1,6,classical_heldout
smul_eq_smul_iff_eq_and_eq_of_pos',1,7,classical_heldout
CategoryTheory.Limits.biproduct.map_eq,1,2,classical_heldout
MonomialOrder.degree_sub_le,1,3,classical_heldout
PolynomialModule.aeval_equivPolynomial,1,5,classical_heldout
combo_mem_ball_of_ne,1,4,classical_heldout
Ideal.IsHomogeneous.sup,1,5,classical_heldout
Matrix.trace_eq_neg_charpoly_coeff,1,5,classical_heldout
ContDiffWithinAt.comp,1,5,classical_heldout
Finsupp.codisjoint_supported_supported_iff,1,3,classical_heldout
Polynomial.leadingCoeff_cons_eraseLead,1,4,classical_heldout
cauchySeq_finset_of_norm_bounded_eventually,1,2,classical_heldout
CategoryTheory.Presieve.restrict_extend,1,5,classical_heldout
DFinsupp.prod_single_index,1,3,classical_heldout
Fin.castSucc_lt_or_lt_succ,0,,train
UniformContinuousOn.tendstoUniformlyOn,0,,train
HomotopicalAlgebra.weakEquivalence_of_postcomp,0,,train
GenContFract.dens_recurrence,0,,train
Multiset.noncommProd_eq_pow_card,0,,train
IsCoercive.ker_eq_bot,1,4,classical_heldout
HasDerivWithinAt.eventually_notMem,1,3,classical_heldout
MeasureTheory.IsSetSemiring.subset_of_mem_disjointOfDiffUnion,1,4,classical_heldout
MeasureTheory.eLpNorm'_const,1,3,classical_heldout
integrable_mul_cexp_neg_mul_sq,1,4,classical_heldout
Continuous.exists_lift_sigma,1,6,classical_heldout
MeasureTheory.dist_convolution_le',1,2,classical_heldout
Set.forall_inv_mem,0,,train
MeasureTheory.limsup_ae_eq_of_forall_ae_eq,1,8,classical_heldout
Finset.mem_sumLexLift,0,,train
iteratedFDerivWithin_const_of_ne,1,5,classical_heldout
WithZero.exp_log,0,,val
Algebra.pow_smul_mem_of_smul_subset_of_mem_adjoin,1,3,classical_heldout
RingHom.QuasiFinite.comp,1,4,classical_heldout
MeasureTheory.SimpleFunc.exists_le_lowerSemicontinuous_lintegral_ge,1,2,classical_heldout
List.prod_mul_prod_eq_prod_zipWith_of_length_eq,0,,train
Ordnode.Valid'.rotateR,1,8,classical_heldout
LinearOrderedCommGroup.wellFoundedOn_setOf_le_lt_iff_nonempty_discrete,1,3,classical_heldout
ODE.FunSpace.dist_iterate_next_le,1,4,classical_heldout
HahnSeries.SummableFamily.powerSeriesFamily_smul,1,3,classical_heldout
Multiset.rel_cons_right,1,5,classical_heldout
CategoryTheory.ObjectProperty.strictMap_singleton,0,,train
MeasureTheory.laverage_add_measure,1,2,classical_heldout
IsCompact.exists_isOpen_closure_subset,1,3,classical_heldout
List.Duplicate.ne_singleton,0,,val
controlled_closure_of_complete,1,2,classical_heldout
AlgebraicGeometry.isCommMonObj_of_isProper_of_geometricallyIntegral,1,4,classical_heldout
MvPolynomial.eq_C_of_isEmpty,1,4,classical_heldout
CategoryTheory.GrothendieckTopology.diagramNatTrans_zero,1,4,classical_heldout
Polynomial.Chebyshev.integral_measureT,1,3,classical_heldout
StieltjesFunction.length_mono,1,3,classical_heldout
Fermat42.neg_of_minimal,0,,train
Ideal.finite_minimalPrimes_of_isNoetherianRing,1,3,classical_heldout
Submodule.FG.generators_ncard,1,4,classical_heldout
Nat.doubleFactorial_two_mul,0,,val
AlgebraicGeometry.Scheme.Cover.ColimitGluingData.isPullback,1,3,classical_heldout
stereoInvFun_ne_north_pole,1,3,classical_heldout
CategoryTheory.Adjunction.CommShift.compatibilityUnit_isoAdd,1,4,classical_heldout
AlgebraicGeometry.Scheme.PartialMap.isOver_iff_eq_restrict,1,6,classical_heldout
IsDedekindDomain.HeightOneSpectrum.valuation_div_le_one_iff,1,4,classical_heldout
IsCompact.mem_uniformity_of_prod,1,7,classical_heldout
Ideal.inertiaDegIn_eq_inertiaDeg,1,2,classical_heldout
Set.image2_union_inter_subset,0,,train
LieModule.traceForm_eq_zero_of_isTrivial,1,3,classical_heldout
Equiv.Perm.commute_iff_of_mem_cycleFactorsFinset,1,4,classical_heldout
TopCat.GlueData.eqvGen_of_π_eq,1,4,classical_heldout
SSet.N.le_iff_exists_mono,1,3,classical_heldout
MeasureTheory.predictablePart_add_ae_eq,1,4,classical_heldout
InnerProductGeometry.norm_eq_of_angle_sub_eq_angle_sub_rev_of_angle_ne_pi,1,2,classical_heldout
List.splitOnP.go_ne_nil,0,,test
Equiv.Perm.Disjoint.inv_left,0,,train
one_lt_dite,0,,train
MeasureTheory.lintegral_iInf_ae,1,3,classical_heldout
IsLocalRing.finrank_quotient_map,1,3,classical_heldout
PowerSeries.coeff_zero_eq_constantCoeff,1,3,classical_heldout
Complex.restrictScalars_toSpanSingleton,1,4,classical_heldout
ONote.repr_opow_aux₁,1,4,classical_heldout
MonomialOrder.degree_le_iff,1,5,classical_heldout
MeasureTheory.Adapted.isStoppingTime_hittingAfter,1,3,classical_heldout
ProbabilityTheory.centralMoment_congr_ae,1,3,classical_heldout
ProbabilityTheory.covarianceBilin_of_not_memLp,1,4,classical_heldout
Nat.sqrt_eq_zero,0,,train
MvPowerSeries.rescale_one,1,4,classical_heldout
List.not_of_mem_foldl_argAux,0,,train
Unitization.starMap_injective,0,,train
Polynomial.height_eq_height_add_one,1,4,classical_heldout
Turing.PartrecToTM2.pred_ok,1,8,classical_heldout
Ordnode.Sized.induction,0,,val
Valuation.map_one_sub_of_lt,1,6,classical_heldout
SSet.Truncated.StrictSegal.spine_δ_vertex_ge,0,,train
AffineSubspace.sSameSide_iff_exists_left,0,,test
Affine.Simplex.equilateral_reindex_iff,0,,train
LinearEquiv.ofSubsingleton_self,0,,train
CategoryTheory.Limits.hasColimitsOfShape_of_equivalence,1,5,classical_heldout
CategoryTheory.GrothendieckTopology.W_iff_isIso_map_of_adjunction,1,6,classical_heldout
X_pow_sub_C_irreducible_of_odd,1,2,classical_heldout
ArithmeticFunction.IsMultiplicative.prodPrimeFactors_one_add_of_squarefree,1,4,classical_heldout
Matrix.vecMul_fromBlocks,0,,train
Stream'.WSeq.join_join,0,,train
prod_induced_induced,0,,val
CategoryTheory.Limits.isIso_ι_of_isInitial,1,4,classical_heldout
Mathlib.Tactic.Ring.natCast_add,0,,train
Stream'.Seq.ofStream_cons,0,,train
MonomialOrder.degree_leadingTerm_mul,1,2,classical_heldout
MeasureTheory.exists_measurable_le_lintegral_eq,1,3,classical_heldout
BoxIntegral.Box.withBotCoe_subset_iff,0,,train
ENat.toNat_mul,0,,val
MvQPF.liftR_map_last',0,,train
RingHom.SurjectiveOnStalks.of_comp,1,9,classical_heldout
Submodule.mem_sup_right,0,,val
Ring.multichoose_succ_succ,1,8,classical_heldout
iteratedDeriv_scomp_three,1,5,classical_heldout
MeasureTheory.addContent_union_le,1,6,classical_heldout
Set.ncard_diff_singleton_lt_of_mem,1,5,classical_heldout
ProbabilityTheory.iIndepFun_uncurry_infinitePi,1,3,classical_heldout
Equiv.Perm.cycleOf_apply,0,,train
SimpleGraph.Walk.not_nil_of_isCycle_cons,0,,train
isClosed_of_spaced_out,1,3,classical_heldout
NumberField.mixedEmbedding.convexBodySum_neg_mem,1,4,classical_heldout
OrderMonoidIso.mulArchimedean,0,,train
iteratedDerivWithin_comp_three,1,5,classical_heldout
MeasureTheory.SignedMeasure.measurable_rnDeriv,1,3,classical_heldout
PFun.coe_preimage,0,,train
MeasureTheory.eLpNorm_add_le',1,4,classical_heldout
CategoryTheory.ShortComplex.Exact.map,1,4,classical_heldout
Int.clog_of_right_le_one,1,5,classical_heldout
WeierstrassCurve.Projective.map_dblU,1,4,classical_heldout
Module.injective_object_of_injective_module,0,,train
CategoryTheory.GrothendieckTopology.arrow_trans,0,,test
MeasureTheory.StronglyMeasurable.induction,1,3,classical_heldout
Nat.stirlingSecond_succ_self_left,0,,train
Polynomial.mahlerMeasure_eq_leadingCoeff_mul_prod_roots,1,3,classical_heldout
TopologicalSpace.ext_iff_nhds,0,,train
IsCompact.nhdsSet_basis_isCompact,1,4,classical_heldout
Path.Homotopy.continuous_transReflReparamAux,1,3,classical_heldout
iSup_split_single,0,,val
Polynomial.mahlerMeasure_of_degree_eq_one,1,5,classical_heldout
Real.Angle.two_nsmul_eq_pi_iff,1,4,classical_heldout
groupHomology.chainsMap_zero,1,3,classical_heldout
ZFSet.IsOrdinal.trichotomous,1,4,classical_heldout
AlgebraicGeometry.stalkwise_isZariskiLocalAtSource_of_respectsIso,1,5,classical_heldout
FiniteDimensional.exists_is_basis_integral,1,3,classical_heldout
GaussianFourier.integrable_cexp_neg_mul_sum_add,1,4,classical_heldout
HasFPowerSeriesWithinOnBall.congr',1,5,classical_heldout
EReal.mul_div,1,6,classical_heldout
Metric.edist_le_infEDist_add_ediam,0,,train
CategoryTheory.ObjectProperty.IsCoseparating.mk_of_exists_mono,0,,train
CharP.isUnit_natCast_iff,0,,train
isInducing_stoneCechUnit,1,3,classical_heldout
LinearGrowth.linearGrowthInf_biInf,1,4,classical_heldout
Submodule.finrank_lt,1,4,classical_heldout
ContinuousMap.concat_comp_IccInclusionLeft,1,2,classical_heldout
Matroid.removeLoops_indep_eq,1,10,classical_heldout
SimpleGraph.Connected.exists_path_of_dist,1,3,classical_heldout
Matrix.isNilpotent_iff_forall_col,1,4,classical_heldout
Ideal.exists_mem_span_singleton_map_residueField_eq,1,3,classical_heldout
SSet.range_eq_iSup_of_isColimit,1,4,classical_heldout
Matroid.IsNonloop.of_isMinor,1,5,classical_heldout
Finpartition.sum_restrict,1,4,classical_heldout
MulAction.IsMultiplyPreprimitive.of_bijective_map,1,5,classical_heldout
Real.Wallis.W_le,1,3,classical_heldout
Int.emultiplicity_pow_add_pow,1,3,classical_heldout
ContinuousLinearMap.zero_comp,0,,train
Module.Invertible.rTensorInv_leftInverse,0,,val
CategoryTheory.Grpd.piIsoPi_hom_π,1,4,classical_heldout
congruent_iff_pairwise_edist_eq,1,2,classical_heldout
MeasureTheory.lintegral_max,1,4,classical_heldout
MeasureTheory.Measure.integral_comp_smul,1,2,classical_heldout
ArithmeticFunction.IsMultiplicative.pmul,0,,test
Ideal.algebraMap_residueField_eq_zero,1,3,classical_heldout
Finset.truncatedSup_of_isAntichain,1,7,classical_heldout
ODE.FunSpace.range_toContinuousMap,1,4,classical_heldout
ContinuousWithinAt.oscillationWithin_eq_zero,1,10,classical_heldout
MonomialOrder.degree_mul_of_isRegular_left,1,4,classical_heldout
CategoryTheory.Equivalence.funInvIdAssoc_inv_app,0,,val
IntermediateField.isAlgebraic_iSup,1,3,classical_heldout
SimpleGraph.Reachable.exists_isPath,1,2,classical_heldout
linearIndepOn_id_pair,1,5,classical_heldout
Stirling.log_stirlingSeq_sub_log_stirlingSeq_succ,1,3,classical_heldout
MeasureTheory.tendsto_measure_of_tendsto_indicator_of_isFiniteMeasure,1,5,classical_heldout
IntermediateField.map_fixingSubgroup,1,3,classical_heldout
Set.Ico_mul_Ioc_subset',1,8,classical_heldout
CochainComplex.mappingCone.δ_descCochain,1,5,classical_heldout
Ring.map_multichoose,1,8,classical_heldout
PiLp.isometry_ofLp_infty,1,6,classical_heldout
Module.length_submodule,1,5,classical_heldout
Subalgebra.isSimpleOrder_of_finrank_prime,1,3,classical_heldout
MeasureTheory.SimpleFunc.iSup_eapprox_apply,1,3,classical_heldout
Metric.hausdorffEDist_le_ediam,0,,train
MulAction.fixedBy_eq_univ_iff_eq_one,0,,train
intervalIntegral.hasFDerivAt_integral_of_dominated_loc_of_lip,1,3,classical_heldout
List.Vector.tail_pmap,0,,train
SmoothBumpFunction.support_subset_source,1,4,classical_heldout
Multiset.apply_prod_le_sum_map,0,,train
PiLp.nnnorm_eq_of_L1,1,5,classical_heldout
pi_Ioc_mem_nhds,1,5,classical_heldout
DerivedCategory.triangleOfSES_distinguished,1,5,classical_heldout
Int.shiftLeft_add',0,,train
CochainComplex.isLE_shift,1,4,classical_heldout
Batteries.RBNode.Stream.forIn_eq_forIn_toList,0,,train
MvPowerSeries.support_truncFinset_subset,1,3,classical_heldout
ProbabilityTheory.gaussianPDFReal_nonneg,1,3,classical_heldout
ClassGroup.mk0_integralRep,1,4,classical_heldout
one_le_pow_iff_of_nonneg,1,5,classical_heldout
Real.strictAntiOn_logb,1,3,classical_heldout
AddCommGroup.ModEq.add,0,,train
Continuous.fourierPowSMulRight,1,4,classical_heldout
Nat.binaryRec_eq,0,,train
BoxIntegral.TaggedPrepartition.mem_iUnion,0,,train
MeasureTheory.Measure.haarScalarFactor_eq_integral_div,1,3,classical_heldout
InfClosed.insert_upperBounds,0,,train
MeasureTheory.measureReal_le_measureReal_union_right,1,7,classical_heldout
Basis.le_span'',1,5,classical_heldout
FirstOrder.Language.Term.realize_restrictVar,0,,train
EuclideanDomain.div_eq_iff_eq_mul_of_dvd,1,4,classical_heldout
Nat.range_rec,0,,train
Polynomial.sumIDeriv_map,1,6,classical_heldout
DivisibleHull.archimedeanClassMk_mk_eq,1,6,classical_heldout
MeasureTheory.StronglyMeasurable.exists_spanning_measurableSet_norm_le,1,5,classical_heldout
Finsupp.single_mem_span_single,1,4,classical_heldout
isRightRegular_of_non_zero_divisor,0,,train
PhragmenLindelof.right_half_plane_of_tendsto_zero_on_real,1,2,classical_heldout
MeasureTheory.tendsto_measure_norm_gt_of_isTightMeasureSet,1,3,classical_heldout
Set.smul_graphOn,0,,val
ProbabilityTheory.variance_le_sub_mul_sub,1,3,classical_heldout
Nat.coprime_of_fermatPsp,0,,train
WeierstrassCurve.Projective.polynomialZ_eq,1,3,classical_heldout
isOfFinOrder_iff_zpow_eq_one,0,,train
Real.ofDigitsTerm_nonneg,1,3,classical_heldout
Submodule.convex,0,,test
Polynomial.norm_leadingCoeff_eq_one_of_mahlerMeasure_eq_one,1,3,classical_heldout
UpperHalfPlane.σ_im_ne_zero,1,4,classical_heldout
Seminorm.finset_sup_apply_le,1,3,classical_heldout
summable_norm_pow_mul_geometric_of_norm_lt_one,1,4,classical_heldout
isCompact_range_of_mulSupport_subset_isCompact,1,7,classical_heldout
CategoryTheory.Functor.initial_iff_isCofiltered_costructuredArrow,1,5,classical_heldout
SimpleGraph.Walk.IsEulerian.edgesFinset_eq,0,,train
Finset.insert_val',1,7,classical_heldout
WeierstrassCurve.Projective.addMap_of_Y_eq,1,2,classical_heldout
Function.locallyFinsuppWithin.logCounting_nonneg,1,2,classical_heldout
Polynomial.derivative_mul,1,5,classical_heldout
Part.inv_mem_inv,0,,test
MeasureTheory.eLpNorm_le_of_ae_nnnorm_bound,1,4,classical_heldout
Int.natAbs_lt_iff_mul_self_lt,1,9,classical_heldout
Polynomial.tendsto_nhds_iff,1,3,classical_heldout
Subadditive.tendsto_lim,1,4,classical_heldout
SemiconjBy.units_zpow_right,0,,train
HasStrictFDerivAt.exists_lipschitzOnWith_of_nnnorm_lt,1,6,classical_heldout
Polynomial.coeff_toSubring,1,2,classical_heldout
AlgebraicGeometry.quasiSeparatedSpace_iff_quasiCompact_prod_lift,1,4,classical_heldout
CategoryTheory.Functor.hasPointwiseLeftKanExtension_of_hasPointwiseRightDerivedFunctor,1,3,classical_heldout
ProbabilityTheory.identDistrib_iff_forall_finset_identDistrib,1,4,classical_heldout
Orthonormal.orthonormal_of_forall_eq_or_eq_neg,1,2,classical_heldout
Mathlib.Tactic.Ring.add_congr,0,,train
CategoryTheory.ShiftMkCore.zero_add_inv_app,1,4,classical_heldout
summable_sum_mul_range_of_summable_mul,1,5,classical_heldout
MonomialOrder.div_single,1,4,classical_heldout
Real.sSup_le,1,3,classical_heldout
WeierstrassCurve.Affine.CoordinateRing.smul_basis_eq_zero,1,3,classical_heldout
Affine.Simplex.exsphere_reindex,1,2,classical_heldout
exists_continuousLinearEquiv_fderivWithin_symm_eq,1,2,classical_heldout
MulAction.map_stabilizer_le,0,,train
ENat.lift_eq_toNat_of_lt_top,0,,test
SimpleGraph.Walk.getVert_eq_support_getElem,0,,train
Module.associatedPrimes.minimalPrimes_annihilator_subset_associatedPrimes,1,4,classical_heldout
CategoryTheory.MorphismProperty.map_eq_of_iso,1,8,classical_heldout
RingCon.coe_sInf,0,,train
BoxIntegral.hasIntegralIndicatorConst,1,2,classical_heldout
Polynomial.coeffs_monomial,1,3,classical_heldout
HasCompactMulSupport.comp_isClosedEmbedding,1,13,classical_heldout
Rep.resIndAdjunction_homEquiv_symm_apply,1,8,classical_heldout
CategoryTheory.Localization.equivalence_counitIso_app,1,6,classical_heldout
PowerSeries.trunc_trunc_pow,1,4,classical_heldout
Algebra.Generators.Cotangent.surjective_map_ofComp,1,6,classical_heldout
CompHausLike.finiteCoproduct.hom_ext,0,,train
DirectSum.completeOrthogonalIdempotents_idempotent,1,5,classical_heldout
Dynamics.netEntropyInfEntourage_monotone,1,7,classical_heldout
ProbabilityTheory.complexMGF_id_gaussianReal,1,3,classical_heldout
Finset.sup'_insert,0,,train
Polynomial.degree_scaleRoots,1,2,classical_heldout
IsPGroup.nontrivial_iff_card,1,4,classical_heldout
biSup_le_eq_sup,0,,train
DiscreteQuotient.map_ofLE,0,,train
PowerSeries.IsRestricted.convergenceSet_BddAbove,1,3,classical_heldout
List.nextOr_eq_nextOr_of_mem_dropLast,0,,train
Nat.sInf_add',1,3,classical_heldout
AdicCompletion.tensor_map_id_left_eq_map,1,6,classical_heldout
norm_cfc_lt,1,3,classical_heldout
IsOpen.ite',1,2,classical_heldout
WeierstrassCurve.C_Ψ₂Sq,1,7,classical_heldout
IsCyclotomicExtension.Rat.galEquivZMod_smul_of_pow_eq,1,3,classical_heldout
MeasureTheory.IntegrableAtFilter.inf_ae_iff,1,9,classical_heldout
PowerSeries.order_zero_of_unit,1,4,classical_heldout
multipliable_of_finite_mulSupport,1,4,classical_heldout
LinearMap.trace_prodMap',1,3,classical_heldout
Ordinal.invVeblen₂_zero,1,4,classical_heldout
groupCohomology.smul_map_inv_sub_map_inv_of_isCocycle₂,0,,train
EuclideanDomain.div_sub_div_of_dvd,1,4,classical_heldout
CategoryTheory.Limits.inl_pushoutZeroZeroIso_hom,1,4,classical_heldout
isSplittingField_X_pow_sub_C_of_root_adjoin_eq_top,1,3,classical_heldout
MeasureTheory.measure_eq_div_smul,1,5,classical_heldout
RCLike.linearIndependent_of_ne_zero_of_wInner_cWeight_eq_zero,1,4,classical_heldout
EuclideanGeometry.dist_orthogonalProjection_eq_dist_iff_eq_of_mem,1,3,classical_heldout
Complex.continuousWithinAt_arg_of_re_neg_of_im_zero,1,3,classical_heldout
MeasureTheory.Integrable.smul_measure_nnreal,1,8,classical_heldout
DFinsupp.support_erase,0,,train
Equiv.Perm.perm_symm_on_of_perm_on_finite,1,6,classical_heldout
AnalyticOn.contDiff,1,4,classical_heldout
Metric.coveringNumber_zero,1,5,classical_heldout
MeasureTheory.tendsto_of_forall_isOpen_le_liminf_nat',1,4,classical_heldout
SimpleGraph.Walk.drop_isSubwalk_drop,0,,test
lebesgue_number_lemma_sUnion,1,4,classical_heldout
CategoryTheory.ObjectProperty.IsSeparating.mk_of_exists_epi,0,,train
card_classGroup_eq_one,1,4,classical_heldout
Function.Surjective.iSup_comp,0,,test
ZMod.ringEquivCongr_symm,0,,train
CategoryTheory.IsHomLift.of_fac,0,,train
Ordering.compares_iff_of_compares_impl,0,,train
Equiv.Perm.disjoint_ofSubtype_noncommPiCoprod,1,6,classical_heldout
Batteries.RBNode.mem_reverse,0,,train
Matrix.GeneralLinearGroup.isParabolic_iff_of_upperTriangular_of_det,1,4,classical_heldout
mem_nhdsSet_induced,0,,train
Module.Basis.norm_extends,1,2,classical_heldout
List.drop_length_sub_one,0,,train
IsLocalHomeomorphOn.discreteTopology_of_image,0,,train
Valuation.IsNontrivial.exists_lt_one,0,,train
Metric.hausdorffEDist_comm,0,,train
IsPurelyInseparable.algebraMap_elemReduct_eq,1,3,classical_heldout
MeasurableSpace.measurableSet_sSup,1,9,classical_heldout
ComplexShape.Embedding.liftExtend.f_eq,1,4,classical_heldout
IsLocallyInjective.comp_right,0,,val
Finset.card_succ_choose_two_lt_card_subsetSum_of_pos,1,5,classical_heldout
ProbabilityTheory.strong_law_ae_simpleFunc_comp,1,2,classical_heldout
isMIntegralCurve_eq_of_contMDiff,1,3,classical_heldout
Nat.dist_tri_left',0,,train
MvQPF.wEquiv.abs',0,,train
CochainComplex.HomComplex.Cochain.rightUnshift_comp,0,,train
UniqueFactorizationMonoid.pairwise_primeFactors_isRelPrime,1,3,classical_heldout
unitInterval.subtype_Ici_eq_Icc,1,6,classical_heldout
Equiv.Perm.isCycle_of_prime_order,1,4,classical_heldout
AddMonoidAlgebra.supDegree_mem_range,1,5,classical_heldout
IsOrderRightAdjoint.comp_orderIso,0,,val
SimpleGraph.isClique_map_iff,1,5,classical_heldout
LipschitzWith.cauchySeq_comp,1,3,classical_heldout
MeasurableSet.cond,0,,train
Finset.prod_range_reflect,1,7,classical_heldout
Set.powersetCard.isPreprimitive_perm,1,3,classical_heldout
Algebra.basicOpen_subset_smoothLocus_iff,1,4,classical_heldout
Polynomial.Gal.mul_splits_in_splittingField_of_mul,1,3,classical_heldout
tendsto_smul_comp_nat_floor_of_tendsto_nsmul,1,4,classical_heldout
Polynomial.card_roots,1,2,classical_heldout
Mathlib.Meta.NormNum.isNat_ascFactorial,0,,train
Polynomial.natTrailingDegree_mul_mirror,1,2,classical_heldout
Real.log_nonpos_iff,1,3,classical_heldout
Action.preservesLimit_of_preserves,1,4,classical_heldout
BoxIntegral.unitPartition.diam_boxIcc,1,3,classical_heldout
Orientation.inner_rightAngleRotationAux₁_left,1,4,classical_heldout
Convex.convex_remove_iff_notMem_convexHull_remove,0,,train
Subgroup.IsComplement.rightQuotientEquiv_apply,1,6,classical_heldout
stdSimplex.ext,0,,train
Real.deriv_tan,1,3,classical_heldout
Module.End.aeval_apply_of_hasEigenvector,1,7,classical_heldout
aemeasurable_of_unif_approx,1,3,classical_heldout
CochainComplex.isStrictlyLE_iff,0,,train
Char.beqCaseInsensitiveAsciiOnly.eqv,0,,train
equicontinuous_iInf_rng,0,,train
LinearOrderedField.cutMap_add,1,6,classical_heldout
ModelWithCorners.Boundaryless.iff_boundary_eq_empty,1,5,classical_heldout
ZFSet.lift_card_iUnion_le_sum_card,1,3,classical_heldout
ONote.NF.below_of_lt,1,6,classical_heldout
Equiv.extendSubtype_mem,1,3,classical_heldout
ProbabilityTheory.Kernel.borelMarkovFromReal_apply,1,2,classical_heldout
analyticOnNhd_inv,1,4,classical_heldout
Ideal.ramificationIdxIn_ne_zero,1,3,classical_heldout
Module.length_of_free,1,3,classical_heldout
Valued.continuous_valuation,1,4,classical_heldout
MeasureTheory.stoppedValue_hittingBtwn_mem,1,2,classical_heldout
IsValuativeTopology.mem_nhds_iff',1,4,classical_heldout
AffineIndependent.units_lineMap,1,3,classical_heldout
Affine.Simplex.inradius_reindex,1,3,classical_heldout
RingHom.Flat.lTensor,1,6,classical_heldout
AdicCompletion.ofTensorProduct_bijective_of_pi_of_fintype,1,2,classical_heldout
Asymptotics.isLittleO_mul_iff_isLittleO_div,1,4,classical_heldout
CategoryTheory.Limits.pullback.map_id,1,4,classical_heldout
Nat.cast_add_one_pos,1,9,classical_heldout
ConvexOn.bddAbove_convexHull,1,6,classical_heldout
Monotone.ciSup_mem_iInter_Icc_of_antitone,0,,train
Equiv.Perm.cycleFactorsFinset_eq_list_toFinset,1,3,classical_heldout
MeasureTheory.SimpleFunc.ennrealRatEmbed_encode,1,7,classical_heldout
MeasureTheory.measurableSet_sigmaFiniteSetWRT,1,2,classical_heldout
GenContFract.exists_rat_eq_of_terminates,1,6,classical_heldout
isAlgebraic_rat,1,5,classical_heldout
MulAction.IsBlock.translate,1,5,classical_heldout
WithZero.withZeroUnitsEquiv_strictMono,1,6,classical_heldout
Filter.map_inl_inf_map_inr,0,,train
Set.preimage_val_sUnion,0,,test
Real.Angle.abs_toReal_add_eq_two_pi_sub_abs_toReal_add_abs_toReal,1,4,classical_heldout
Int.sq_of_gcd_eq_one,1,3,classical_heldout
Turing.BlankExtends.trans,0,,train
map_sub_le_max,1,3,classical_heldout
MeasureTheory.Measure.eq_of_le_of_measure_univ_eq,1,5,classical_heldout
Finset.sum_le_one_iff,1,2,classical_heldout
Finset.map_erase,0,,train
norm_jacobiTheta₂_term_fderiv_le,1,3,classical_heldout
MeasureTheory.StronglyMeasurable.integral_kernel_prod_left'',1,4,classical_heldout
